time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/ent_coef,train/n_updates
14,-58.8,23,10,2.3,1,,,,,,
13,-54.4,41,20,2.05,3,,,,,,
12,-47.63333333333333,58,30,1.9333333333333333,4,,,,,,
11,-52.4,84,40,2.1,7,,,,,,
11,-53.56,105,50,2.1,9,0.18375876545906067,0.0003,34.57079315185547,11.716135025024414,2.792788028717041,15604
10,-44.63333333333333,115,60,1.9166666666666667,10,-0.030392227694392204,0.0003,57.987525939941406,11.873472213745117,2.7924931049346924,15614
9,-39.357142857142854,128,70,1.8285714285714285,13,0.12740865349769592,0.0003,34.74281311035156,11.006256103515625,2.794672727584839,15627
9,-35.4,141,80,1.7625,15,-0.04594866558909416,0.0003,31.32948112487793,10.560389518737793,2.794217109680176,15640
8,-32.37777777777778,154,90,1.711111111111111,17,-0.0875524953007698,0.0003,37.90562438964844,11.970821380615234,2.793951988220215,15653
8,-30.18,168,100,1.68,20,0.02461897023022175,0.0003,35.480899810791016,12.77853012084961,2.7943739891052246,15667
7,-25.34,182,110,1.59,23,-0.02122686058282852,0.0003,48.12256622314453,10.410944938659668,2.7932965755462646,15681
7,-21.46,196,120,1.55,26,-0.16236616671085358,0.0003,35.37317657470703,12.887633323669434,2.790383815765381,15695
7,-18.61,208,130,1.5,29,-0.10591632127761841,0.0003,45.90375900268555,12.673452377319336,2.7897932529449463,15707
6,-12.21,219,140,1.35,32,-0.09433364123106003,0.0003,36.29375457763672,10.854839324951172,2.7891311645507812,15718
6,-7.12,232,150,1.27,35,0.024667590856552124,0.0003,27.248153686523438,10.74566650390625,2.7888224124908447,15731
6,-8.42,247,160,1.32,39,0.024537213146686554,0.0003,35.23516845703125,11.82744026184082,2.7896978855133057,15746
6,-8.74,261,170,1.33,42,0.03553463891148567,0.0003,47.95157241821289,11.079446792602539,2.7884926795959473,15760
5,-8.21,272,180,1.31,46,0.05537799373269081,0.0003,39.86817169189453,10.727685928344727,2.787856101989746,15771
5,-8.46,286,190,1.32,50,0.025060035288333893,0.0003,51.79474639892578,10.994230270385742,2.784536123275757,15785
5,-7.42,296,200,1.28,54,-0.141587033867836,0.0003,41.41844940185547,11.212087631225586,2.7788524627685547,15795
5,-6.9,308,210,1.26,58,0.14228355884552002,0.0003,34.28276824951172,12.80992317199707,2.781437397003174,15807
5,-6.82,322,220,1.26,62,-0.1414509266614914,0.0003,52.370418548583984,11.794620513916016,2.777787446975708,15821
4,-6.81,334,230,1.26,66,0.0006606727838516235,0.0003,49.45576095581055,10.238555908203125,2.7780845165252686,15833
4,-6.8,345,240,1.26,71,-0.014923591166734695,0.0003,28.25057601928711,11.949958801269531,2.7765862941741943,15844
4,-7.85,362,250,1.3,76,0.16800281405448914,0.0003,33.492431640625,11.364096641540527,2.7768280506134033,15861
4,-7.05,374,260,1.27,81,-0.0824366882443428,0.0003,39.26042556762695,10.47905445098877,2.7742345333099365,15873
4,-6.78,387,270,1.26,87,0.0329749621450901,0.0003,36.41032791137695,11.887393951416016,2.7742526531219482,15886
4,-7.3,400,280,1.28,92,0.21588467061519623,0.0003,34.77556610107422,10.006280899047852,2.77335786819458,15899
4,-6.52,411,290,1.25,97,-0.06700020283460617,0.0003,30.271541595458984,11.840787887573242,2.7737019062042236,15910
4,-7.32,424,300,1.28,103,0.00195322185754776,0.0003,31.656539916992188,10.748113632202148,2.7751245498657227,15923
3,-7.65,437,310,1.29,109,-0.0034804120659828186,0.0003,35.95449447631836,11.387564659118652,2.773235321044922,15936
3,-7.39,450,320,1.28,116,0.18967321515083313,0.0003,34.27574920654297,11.821895599365234,2.770339250564575,15949
3,-7.86,464,330,1.3,123,-0.005487259477376938,0.0003,36.59424591064453,12.282487869262695,2.767482042312622,15963
3,-8.64,478,340,1.33,130,-0.07218996435403824,0.0003,31.832544326782227,11.768838882446289,2.7640936374664307,15977
3,-7.36,490,350,1.28,136,0.12851661443710327,0.0003,19.686214447021484,10.22319221496582,2.765519380569458,15989
