train/learning_rate,train/actor_loss,train/ent_coef,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/n_updates,train/ent_coef_loss,time/episodes,time/fps,train/critic_loss,rollout/ep_rew_mean
0.0003,13.182929992675781,2.000645637512207,1.69,21,169,3668,-0.331770658493042,100,8,49.82264709472656,-25.98
0.0003,10.723575592041016,2.052515745162964,1.25,53,294,3793,-0.16586525738239288,200,5,35.841026306152344,-6.51
0.0003,10.395745277404785,2.1034770011901855,1.24,101,418,3917,-0.29687291383743286,300,4,49.04713821411133,-6.44
