rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/episodes,time/fps
-25.0,1.0,2,0,2,9
-25.0,1.0,4,0,4,10
-35.166666666666664,1.6666666666666667,10,0,6,11
-26.375,1.5,12,1,8,11
-29.3,1.5,15,1,10,11
-27.0,1.5,18,1,12,11
-34.357142857142854,1.7142857142857142,24,2,14,11
-35.125,1.6875,27,2,16,11
-32.611111111111114,1.6666666666666667,30,2,18,11
-30.75,1.65,33,2,20,11
-31.681818181818183,1.6363636363636365,36,3,22,11
-32.458333333333336,1.625,39,3,24,11
-33.11538461538461,1.6153846153846154,42,3,26,11
-36.392857142857146,1.7142857142857142,48,4,28,11
-41.7,1.8333333333333333,55,4,30,11
-43.4375,1.875,60,5,32,11
-43.44117647058823,1.911764705882353,65,5,34,11
-45.30555555555556,1.9722222222222223,71,6,36,11
-44.23684210526316,1.9210526315789473,73,6,38,11
-44.075,1.9,76,6,40,10
-45.54761904761905,1.9761904761904763,83,7,42,10
-43.47727272727273,1.9318181818181819,85,7,44,10
-41.58695652173913,1.891304347826087,87,8,46,10
-46.625,2.0208333333333335,97,9,48,10
-44.76,1.98,99,9,50,10
-47.01923076923077,2.019230769230769,105,0,52,10,,,,
-45.27777777777778,1.9814814814814814,107,0,54,8,1463.7659912109375,0.001,1.6223665475845337,6
-44.232142857142854,1.9642857142857142,110,1,56,7,1489.2333984375,0.001,2.258709192276001,8
-48.5,2.0689655172413794,120,2,58,8,1330.55068359375,0.001,4.319907188415527,15
-52.166666666666664,2.1666666666666665,130,3,60,8,946.6087768554687,0.001,10.542086601257324,25
-52.016129032258064,2.1774193548387095,135,4,62,8,562.2141418457031,0.001,19.33549213409424,34
-52.84375,2.203125,141,4,64,8,452.64422607421875,0.001,23.361413319905598,40
-51.696969696969695,2.1818181818181817,144,5,66,8,530.4766845703125,0.001,25.449609756469727,42
-51.029411764705884,2.176470588235294,148,5,68,8,441.24993896484375,0.001,26.36634635925293,46
-50.81428571428572,2.1857142857142855,153,6,70,8,462.11322021484375,0.001,24.875093460083008,52
-50.833333333333336,2.1805555555555554,157,6,72,8,390.97948201497394,0.001,22.861875534057617,56
-50.13513513513514,2.1486486486486487,159,7,74,8,384.377685546875,0.001,21.4518985748291,58
-49.81578947368421,2.1315789473684212,162,7,76,8,460.70831298828125,0.001,20.576921463012695,60
-49.5,2.1153846153846154,165,8,78,8,394.3568420410156,0.001,18.88111686706543,64
-48.625,2.1,168,8,80,7,383.46844482421875,0.001,18.32784080505371,66
-49.03658536585366,2.0853658536585367,171,8,82,7,436.9441223144531,0.001,17.135009765625,70
-47.86904761904762,2.0595238095238093,173,9,84,7,457.885009765625,0.001,17.74127197265625,72
-46.75581395348837,2.0348837209302326,175,9,86,7,424.835205078125,0.001,17.248167037963867,74
-46.26136363636363,2.0113636363636362,177,10,88,7,485.92694091796875,0.001,17.582408905029297,76
-45.78888888888889,1.988888888888889,179,10,90,7,416.8460998535156,0.001,18.0859432220459,78
-45.33695652173913,1.9673913043478262,181,10,92,7,527.3109130859375,0.001,17.343994140625,80
-44.37234042553192,1.946808510638298,183,11,94,7,490.4979553222656,0.001,17.559886932373047,82
-43.979166666666664,1.9479166666666667,187,11,96,7,530.0373229980469,0.001,17.304555892944336,85
-43.357142857142854,1.9387755102040816,190,12,98,7,449.6739044189453,0.001,17.413049697875977,89
-43.49,1.94,194,12,100,7,503.8404235839844,0.001,16.956096649169922,93
-42.99,1.94,196,13,102,7,525.2012329101562,0.001,17.23085594177246,95
-43.49,1.94,198,13,104,7,390.4725341796875,0.001,16.94622802734375,97
-43.38,1.9,200,13,106,7,652.6563720703125,0.001,16.914485931396484,99
450.19287109375,-44.13,1.91,203,0.001,6,108,0,101,
549.31396484375,-44.09,1.91,206,0.001,6,110,0,104,16.22246742248535
531.2764739990234,-44.55,1.91,209,0.001,6,112,1,108,16.833297729492188
601.0865478515625,-43.71,1.88,212,0.001,6,114,1,111,17.202362060546875
584.6273193359375,-43.14,1.88,215,0.001,5,116,2,114,19.189945220947266
488.1935119628906,-43.39,1.87,217,0.001,5,118,2,116,19.81238555908203
564.5606689453125,-43.92,1.87,220,0.001,5,120,3,119,20.3826961517334
566.830810546875,-44.1,1.86,222,0.001,5,122,3,121,20.842363357543945
531.8348388671875,-44.58,1.86,225,0.001,6,124,4,123,21.442890167236328
537.7930755615234,-44.27,1.87,229,0.001,5,126,4,127,22.016016006469727
543.7869364420573,-44.47,1.86,234,0.001,6,128,5,132,21.24782085418701
611.0847473144531,-42.9,1.82,237,0.001,6,130,6,136,20.965682983398438
513.2254028320312,-41.78,1.8,240,0.001,5,132,6,139,20.957544326782227
647.5716552734375,-41.41,1.77,242,0.001,5,134,7,141,20.510051727294922
606.2763061523438,-40.14,1.74,245,0.001,5,136,7,144,20.51650047302246
543.4476318359375,-40.14,1.74,247,0.001,5,138,8,146,20.40740966796875
507.8241271972656,-40.11,1.74,250,0.001,5,140,8,148,20.1657772064209
475.6441650390625,-39.11,1.69,252,0.001,5,142,9,151,20.017568588256836
491.2933349609375,-40.11,1.69,254,0.001,5,144,9,153,20.286109924316406
663.8050231933594,-40.36,1.7,257,0.001,5,146,10,156,20.921815872192383
505.31634521484375,-37.88,1.63,260,0.001,5,148,10,159,21.55339241027832
681.1368408203125,-37.88,1.63,262,0.001,5,150,11,161,21.833110809326172
491.86859130859375,-36.04,1.6,265,0.001,5,152,12,164,22.20937156677246
581.067626953125,-36.04,1.6,267,0.001,5,154,12,166,22.20423698425293
