rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss
2.1,21,14,10,-69.5,1,,,,,,
2.25,45,13,20,-68.55,3,,,,,,
2.566666666666667,77,13,30,-79.26666666666667,5,,,,,,
2.85,114,12,40,-80.925,9,0.9964077472686768,0.0003,13,0.1552775800228119,-0.006000569090247154,995.5208129882812
3.24,162,11,50,-95.36,13,0.9822033643722534,0.0003,61,4.696596145629883,-0.02921266295015812,737.6944580078125
3.183333333333333,191,11,60,-92.43333333333334,16,0.9739720225334167,0.0003,90,9.693000793457031,-0.038770537823438644,548.0291748046875
3.6714285714285713,257,10,70,-105.58571428571429,23,0.957549512386322,0.0003,156,25.044208526611328,-0.05450364202260971,216.1529541015625
3.5625,285,10,80,-101.2,27,0.9513567090034485,0.0003,184,29.392513275146484,-0.05041913315653801,187.26712036132812
3.4444444444444446,310,10,90,-95.41111111111111,30,0.9460667967796326,0.0003,209,31.025718688964844,-0.05515332147479057,232.96548461914062
3.36,336,9,100,-94.22,34,0.9408633708953857,0.0003,235,32.1309928894043,-0.05200982093811035,236.94512939453125
3.32,353,9,110,-90.75,36,0.9376986026763916,0.0003,252,32.92474365234375,-0.059227652847766876,265.102294921875
3.25,370,9,120,-88.21,39,0.9346972107887268,0.0003,269,33.883056640625,-0.05719835311174393,344.13177490234375
3.21,398,9,130,-85.34,44,0.9300616383552551,0.0003,297,35.090415954589844,-0.04490172117948532,375.34613037109375
3.05,419,8,140,-82.53,47,0.9269359111785889,0.0003,318,35.92585372924805,-0.044645145535469055,352.54779052734375
2.84,446,8,150,-75.48,52,0.9232494235038757,0.0003,345,37.30162048339844,-0.03257284313440323,383.96771240234375
2.74,465,8,160,-72.49,55,0.9209597110748291,0.0003,364,38.39688491821289,-0.041055209934711456,362.8359375
2.26,483,8,170,-57.79,59,0.9188680052757263,0.0003,382,39.38209533691406,-0.03557904064655304,457.13446044921875
